Name,=+971 4 4225666,callmodalpad,Number,Address,Number2
Malgudi,#ERROR!,#ERROR!,97143556975,,
SaiDham,#ERROR!,#ERROR!,97143358788,,
GrandAbuShakra,#ERROR!,#ERROR!,97143233033,,
MarhabaniRestaurant,#ERROR!,#ERROR!,97142660664,,
GopalasRestaurant,#ERROR!,#ERROR!,97143598777,,
Domino's,#ERROR!,#ERROR!,97144233822,,
MasalaHouse,#ERROR!,#ERROR!,97143510166,,
HimalayaRestaurant,#ERROR!,#ERROR!,97142252293,,
BiryaniHutRestaurant,#ERROR!,#ERROR!,97142344885,,
MagicCorner,#ERROR!,#ERROR!,97142951633,,
ReemAlBawadi,#ERROR!,#ERROR!,97144522525,,
VasantaBhavan,#ERROR!,#ERROR!,97143934873,,
Ksara,#ERROR!,#ERROR!,97143549749,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97142824906,,
TheRoyalExpress,#ERROR!,#ERROR!,97143935333,,
AlRiqqaRestaurant,#ERROR!,#ERROR!,97142225525,,
AlternativeDiningExperienceRestaurantsManagementLLC(HeadOffice),#ERROR!,#ERROR!,97143285211,,
AlThabaqAlZahabiRestaurant,#ERROR!,#ERROR!,97143933812,,
GazeboRestaurant,#ERROR!,#ERROR!,97142559970,,
AlMawasmainCafeteria,#ERROR!,#ERROR!,97142241404,,
KrispyKreme,#ERROR!,#ERROR!,97143397728,,
AlMusallaRestaurant,#ERROR!,#ERROR!,97143964928,,
AliYalwanCafeteria,#ERROR!,#ERROR!,97142625603,,
NewCentralMarketRestaurant,#ERROR!,#ERROR!,97142666435,,
SaiDham,#ERROR!,#ERROR!,97143358788,,
MagicCorner,#ERROR!,#ERROR!,97142951633,,
MadrasVegetarianRestaurant(LLC),#ERROR!,#ERROR!,97142691148,,
ShamiqBiryani,#ERROR!,#ERROR!,97144207160,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97143431852,,
VasantaBhavan,#ERROR!,#ERROR!,97143934873,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97142582858,,
GoldenFork,#ERROR!,#ERROR!,97142229802,,
Ksara,#ERROR!,#ERROR!,97143549749,,
DamyatiRestaurant,#ERROR!,#ERROR!,97142661420,,
BallimaranDilliRestaurant,#ERROR!,#ERROR!,97143972224,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97143943878,,
DublinArms,#ERROR!,#ERROR!,97142959171,,
DumPukhtRestaurant,#ERROR!,#ERROR!,97143371782,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97143408586,,
AlRiqqaRestaurant,#ERROR!,#ERROR!,97142225525,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97143988458,,
AlThabaqAlZahabiRestaurant,#ERROR!,#ERROR!,97143933812,,
FusionOfFlavoursRestaurant,#ERROR!,#ERROR!,97142678056,,
KababKolony,#ERROR!,#ERROR!,97143583388,,
AlSufoofRestaurant,#ERROR!,#ERROR!,97142723860,,
AliYalwanCafeteria,#ERROR!,#ERROR!,97142625603,,
AlTawasolRestaurant,#ERROR!,#ERROR!,97142959797,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97143286685,,
AkshayaRestaurant,#ERROR!,563246924,563246924,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97142582858,,
GoldenFork,#ERROR!,#ERROR!,97142229802,,
Eat&DrinkRestaurant,#ERROR!,#ERROR!,97142809218,,
AlRasheedRestaurant,#ERROR!,#ERROR!,97143939167,,
HotBrandsInternationalFZCO,#ERROR!,#ERROR!,97142863660,,
AlQuozRestaurant,#ERROR!,#ERROR!,97143380982,,
BabAlFalahRestaurant,#ERROR!,#ERROR!,97143531019,,
GulfStarRestaurant,#ERROR!,#ERROR!,97148846099,,
InfernoGrill,#ERROR!,#ERROR!,97143689193,,
InnalayAsia,#ERROR!,#ERROR!,97144587117,,
AliYalwanCafeteria,#ERROR!,#ERROR!,97142625603,,
HajiAliJuiceCenter,#ERROR!,#ERROR!,97143978844,,
IndiaPalaceRestaurant,#ERROR!,#ERROR!,97142223881,,
HajiAliJuiceCenter,#ERROR!,#ERROR!,97143378078,,
IndianPavilion,#ERROR!,#ERROR!,97143941483,,
HelioLounge,#ERROR!,#ERROR!,97144329457,,
KababRolls,#ERROR!,#ERROR!,97143960755,,
BentoyaKitchen,#ERROR!,#ERROR!,97143430222,,
DownTownAfrica,#ERROR!,#ERROR!,97143346565,,
BerrysBenchExpress,#ERROR!,#ERROR!,97143418118,,
GoldenDragonRestaurant,#ERROR!,#ERROR!,97143911480,,
KababRolls,#ERROR!,#ERROR!,97144509898,,
KababRolls,#ERROR!,#ERROR!,97143256166,,
GrandAbuSharkra,#ERROR!,#ERROR!,97142229900,,
Fuddruckers,#ERROR!,#ERROR!,97142827771,,
AlQassabRestaurant,#ERROR!,#ERROR!,97142258753,,
ArabUdupiRestaurant,#ERROR!,#ERROR!,97143933877,,
BateauxDubai,#ERROR!,#ERROR!,97143994994,,
KhanMurjanRestaurant,#ERROR!,#ERROR!,97143279795,,
ArmaniCafe,#ERROR!,#ERROR!,97143410591,,
AlQuozRestaurant,#ERROR!,#ERROR!,97143380982,,
ArmaniCafe,#ERROR!,#ERROR!,97143398396,,
ChinesePalaceRestaurantGroup(HeadOffice),#ERROR!,#ERROR!,97142215179,,
IndianPavilion,#ERROR!,#ERROR!,97143941483,,
HatamRestaurant,#ERROR!,#ERROR!,97143522243,,
SadafRestaurant(HeadOffice),#ERROR!,#ERROR!,97142278811,,
PyramidsRestaurantsAndBar(ReservationOffice),#ERROR!,#ERROR!,97143244100,,
Maharani'sRestaurant,#ERROR!,559835002,559835002,,
GourmetBurgerKitchen,#ERROR!,#ERROR!,97144250187,,
BaitAlRaisRestaurant,#ERROR!,#ERROR!,97143440051,,
Markette,#ERROR!,#ERROR!,97143398173,,
KababRolls,#ERROR!,#ERROR!,97144509898,,
JanataRestaurant,#ERROR!,#ERROR!,97142233780,,
StarAfricanRestaurant,#ERROR!,#ERROR!,97142946969,,
Hatam,#ERROR!,#ERROR!,97142840422,,
Fujiyama,#ERROR!,#ERROR!,97142329782,,
ChinesePalaceRestaurant,#ERROR!,#ERROR!,97142840979,,
DarZayedRestaurant,#ERROR!,#ERROR!,97143513993,,
NAYRestaurantAndLounge,#ERROR!,#ERROR!,97143513430,,
Hatam,#ERROR!,#ERROR!,97142515002,,
ChinesePalaceRestaurant,#ERROR!,#ERROR!,97142271510,,
Hatam,,554025590,554025590,,
CafeBelge,#ERROR!,#ERROR!,97143722323,,
PandaChineseRestaurant,#ERROR!,#ERROR!,97142843968,,
PandaChineseRestaurant,#ERROR!,#ERROR!,97143399321,,
BhoujanRestaurant,#ERROR!,#ERROR!,97143649249,,
Comptoir102,#ERROR!,#ERROR!,97143854555,,
PandaChineseRestaurant,#ERROR!,#ERROR!,97142950041,,
AnjapparChettinadRestaurant,#ERROR!,#ERROR!,97142578773,,
EatAndDrinkRestaurant,#ERROR!,#ERROR!,97144528915,,
EatAndDrinkRestaurant,#ERROR!,#ERROR!,97143237552,,
PathansRestaurant,#ERROR!,#ERROR!,97143597070,,
KulchaKing,#ERROR!,505838381,505838381,,
CandleLightRestaurant,#ERROR!,#ERROR!,97143510099,,
KashmirPalaceRestaurant,#ERROR!,#ERROR!,97143968402,,
PuriRestaurant,#ERROR!,#ERROR!,97143522123,,
SultanRestaurant,#ERROR!,#ERROR!,97143339796,,
AlDahleezRestaurant,#ERROR!,#ERROR!,97143243000,,
CalicutParagonRestaurant,#ERROR!,#ERROR!,97143358700,,
MagicWok,#ERROR!,#ERROR!,97143411200,,
DragonHutRestaurantLLC,#ERROR!,#ERROR!,97143974433,,
KulchaKing,#ERROR!,#ERROR!,97143518709,,
ChinesePavilion,#ERROR!,#ERROR!,97143444432,,
Suvoroff,#ERROR!,#ERROR!,97144370178,,
IndianPavilionRestaurant,#ERROR!,#ERROR!,97143411600,,
Carino'sRestaurant,#ERROR!,#ERROR!,97143514411,,
NewSindPunjabRestaurant,#ERROR!,#ERROR!,97143375535,,
AsianPalaceStarRestaurant,#ERROR!,#ERROR!,97144340110,,
Santino's,#ERROR!,#ERROR!,97143669783,,
CulturesRestaurant,#ERROR!,#ERROR!,97143671133,,
SiveStarRestaurant,#ERROR!,#ERROR!,97143362566,,
14thAugustRestaurant,#ERROR!,#ERROR!,97142724293,,
FoodlandsRestaurant,#ERROR!,#ERROR!,97142683311,,
HungryTiger,#ERROR!,#ERROR!,97143851655,,
RangeelaIndianRestaurant,#ERROR!,#ERROR!,97142094255,,
SufretnaMeals&Catering,,600543331,600543331,,
LemonNChillRestaurant,#ERROR!,#ERROR!,97142263333,,
SushiCounter,#ERROR!,#ERROR!,97143888065,,
FornOSaj,#ERROR!,#ERROR!,97143616848,,
AsheanaRestaurant,#ERROR!,#ERROR!,97142952546,,
AlMadinaWideRange,#ERROR!,#ERROR!,97143573888,,
Subway,#ERROR!,#ERROR!,97148857430,,
Kurkuman,#ERROR!,#ERROR!,97144474278,,
Chawlas2RestaurantLLC,#ERROR!,#ERROR!,97143968305,,
AvaniRestaurant,#ERROR!,#ERROR!,97142989143,,
ChickenTikkaInn,#ERROR!,#ERROR!,97142225683,,
KarachiDarbarRestaurant,#ERROR!,#ERROR!,97143347272,,
LuxuryMandiRestaurant,#ERROR!,#ERROR!,97143924445,,
BabSharqi,,,,,
ChickenTikkaInn,#ERROR!,#ERROR!,97142630671,,
SadafRestaurant,#ERROR!,#ERROR!,97143314747,,
ChandiniChowk,#ERROR!,#ERROR!,97144279500,,
AdamsPizzeria,#ERROR!,#ERROR!,97142384304,,
CafeHabana,#ERROR!,#ERROR!,97144222620,,
MubashiraRestuarnt,#ERROR!,#ERROR!,97142959668,,
Ginger&Spice,#ERROR!,#ERROR!,97143590039,,
BirtaniOnTheWood,#ERROR!,#ERROR!,97143855100,,
KhanJoon,#ERROR!,#ERROR!,97143996662,,
DelhiDarbar,#ERROR!,#ERROR!,97143347171,,
AbsharIranianRestaurant,#ERROR!,#ERROR!,97143940950,,
CurryXpress,#ERROR!,#ERROR!,97142540820,,
SeaviewRestaurant,#ERROR!,#ERROR!,97143750311,,
ArabUdupiRestaurant,#ERROR!,#ERROR!,97142205858,,
SagarRatna,#ERROR!,#ERROR!,97144533364,,
DubaiAmaravathi,#ERROR!,#ERROR!,97143387738,,
ClassiqRestaurant,#ERROR!,#ERROR!,97148806559,,
AdukkalaRestaurant,#ERROR!,#ERROR!,97143344043,,
AlDahleez,#ERROR!,#ERROR!,97144484276,,
25DegressNorth,#ERROR!,#ERROR!,97144527779,,
BlueSapphire,#ERROR!,#ERROR!,97144515552,,
ChaskaRestaurant,#ERROR!,#ERROR!,97142944417,,
KayalStarRestaurant,#ERROR!,#ERROR!,97142392891,,
Bunny'sTandoori,#ERROR!,#ERROR!,97144414270,,
MalabarMRARestaurantAndCafe,#ERROR!,#ERROR!,97143796667,,
AlOmaraRestaurant,#ERROR!,#ERROR!,97148836623,,
Chopstix,#ERROR!,#ERROR!,97142720000,,
OssianoRestaurant,#ERROR!,#ERROR!,97144260000,,
ArdAlKhaleejAlMandiRestaurant,#ERROR!,#ERROR!,97143207001,,
DailyRestaurant,#ERROR!,#ERROR!,97143344334,,
KreethiRestaurant,#ERROR!,#ERROR!,97143378787,,
SivestarBhavanRestaurant,#ERROR!,526459162,526459162,,
SivestarRestaurant,#ERROR!,#ERROR!,97143979481,,
BaitiGrillRestaurantLLC,#ERROR!,#ERROR!,97142289005,,
Eauzone,#ERROR!,#ERROR!,97143999999,,
SivestarBhavanRestaurant,#ERROR!,#ERROR!,97143404081,,
AvaniRestaurantLLC,#ERROR!,#ERROR!,97144229382,,
TheBaombay,#ERROR!,#ERROR!,97142720000,,
BaguetteExpress,#ERROR!,#ERROR!,97143927207,,
GazeboRestaurant,#ERROR!,#ERROR!,97142858338,,
GunSmokeSteaksAndBurger,#ERROR!,#ERROR!,97144572626,,
AklBaytnaRestaurant,#ERROR!,#ERROR!,97148851903,,
CaspainSpecialKabab,#ERROR!,#ERROR!,97143237371,,
LabnehWaZaatarRestaurant,#ERROR!,#ERROR!,97142245454,,
Dynasty,#ERROR!,#ERROR!,97143519999,,
YUANChineseRestaurant,#ERROR!,#ERROR!,97144260000,,
Vinoteca-ItalianWineBar,#ERROR!,#ERROR!,97143172222,,
Dastarkhan,#ERROR!,#ERROR!,97142292804,,
NobleHouseChineseRestaurant,#ERROR!,#ERROR!,97143515100,,
ImperialGarden,#ERROR!,#ERROR!,97143460111,,
FishMarket,#ERROR!,#ERROR!,97142227171,,
RondaLocatelli,#ERROR!,#ERROR!,97144260700,,
HandiRestaurant,#ERROR!,#ERROR!,97142232222,,
MetroRestaurant,#ERROR!,#ERROR!,97142365566,,
CaspianRestaurant,#ERROR!,#ERROR!,97142229226,,
AntiqueBazaar,#ERROR!,#ERROR!,97143977444,,
HaveliRestaurant,#ERROR!,#ERROR!,97143515100,,
DidonRestaurant,#ERROR!,#ERROR!,97144554800,,
SeafireSteakhouseAndBar,#ERROR!,#ERROR!,97144260700,,
NobuRestaurant,#ERROR!,#ERROR!,97144262626,,
OcactiRestaurant,#ERROR!,#ERROR!,97144526699,,
Sakura,#ERROR!,#ERROR!,97142232222,,
NobuRestaurant,#ERROR!,#ERROR!,97144260000,,
AlNafoora,#ERROR!,#ERROR!,97142248587,,
Beachcombers,#ERROR!,#ERROR!,97144068999,,
AappaKadaiRestaurant,#ERROR!,#ERROR!,97143348030,,
Armani-Amal,#ERROR!,#ERROR!,97148883888,,
101Restaurant,#ERROR!,#ERROR!,97144401010,,
TheMarketPlace,#ERROR!,#ERROR!,97142624444,,
JustFalafel,#ERROR!,#ERROR!,97143444470,,
Teppenyaki,#ERROR!,#ERROR!,97143519999,,
DerKeller,#ERROR!,#ERROR!,97143480000,,
LongYin,#ERROR!,#ERROR!,97142170000,,
LeClassique,#ERROR!,#ERROR!,97144179999,,
Kiku,#ERROR!,#ERROR!,97142170000,,
M's,#ERROR!,#ERROR!,97144179999,,
LaVeranda,#ERROR!,#ERROR!,97143480000,,
StarsStudio,#ERROR!,#ERROR!,97142688888,,
M'sSeafoodBistro,#ERROR!,#ERROR!,97142170000,,
SeafoodMarket,#ERROR!,#ERROR!,97142170000,,
ThymeRestaurant,#ERROR!,#ERROR!,97143994444,,
SzechuanPalace,#ERROR!,#ERROR!,97145019000,,
Shahrzad,#ERROR!,#ERROR!,97142091234,,
TheRotisserie,#ERROR!,#ERROR!,97143999999,,
OceanRestaurant,#ERROR!,#ERROR!,97143935333,,
Sicilia,#ERROR!,#ERROR!,97144440000,,
ShanghaiChic,#ERROR!,#ERROR!,97144440000,,
ShangPalace,#ERROR!,#ERROR!,97143438888,,
AlBahou,#ERROR!,#ERROR!,97144440000,,
HoiAn,#ERROR!,#ERROR!,97144052703,,
VillaBeachRestaurant,#ERROR!,#ERROR!,97143480000,,
AlMushrefAuthentic,#ERROR!,#ERROR!,97142251122,,
AlForsanRestaurant,#ERROR!,#ERROR!,97148096100,,
32MarinaStreetKitchen,#ERROR!,#ERROR!,97144259999,,
IndChi,#ERROR!,#ERROR!,97142735555,,
ChineseVillage2,#ERROR!,#ERROR!,97143558080,,
Masala,#ERROR!,#ERROR!,97148096100,,
ChorBazaar,#ERROR!,#ERROR!,97144440000,,
ZhengHe's,#ERROR!,#ERROR!,97143668888,,
Tamarind,#ERROR!,#ERROR!,97143519999,,
CafeSushi,#ERROR!,#ERROR!,97143325555,,
AlNafoorah,#ERROR!,#ERROR!,97143300000,,
Tagine,#ERROR!,#ERROR!,97143999999,,
AhlanRestaurant,#ERROR!,#ERROR!,97142227393,,
Ginger,#ERROR!,#ERROR!,97147027030,,
Horizon,#ERROR!,#ERROR!,97144282000,,
Mistral,#ERROR!,#ERROR!,97144440000,,
HookahLounge,#ERROR!,#ERROR!,97144554800,,
Sushi,#ERROR!,#ERROR!,97143172222,,
Intramuros,#ERROR!,#ERROR!,97142359944,,
Bazerkan,#ERROR!,#ERROR!,97143460111,,
GypseChinese,#ERROR!,#ERROR!,97143599992,,
PanoramicRestaurant,#ERROR!,#ERROR!,97144544900,,
CalifornianRestaurant,#ERROR!,#ERROR!,97143174442,,
AlKalaa,#ERROR!,#ERROR!,97142716666,,
Wox,#ERROR!,#ERROR!,97143172222,,
LeRendezvous,#ERROR!,#ERROR!,97142232222,,
AlMansourDhow,#ERROR!,#ERROR!,97142227171,,
BenjarongRestaurant,#ERROR!,#ERROR!,97143433333,,
Pegasus,#ERROR!,#ERROR!,97143982222,,
Tempo-TheBreakfastRoom,#ERROR!,#ERROR!,97142925000,,
AlMuntaha,#ERROR!,#ERROR!,97143017777,,
Shooters,#ERROR!,#ERROR!,97148145604,,
Skylite,#ERROR!,#ERROR!,97144360000,,
AlIwan,#ERROR!,#ERROR!,97143017777,,
Tortuga,#ERROR!,#ERROR!,97143668888,,
TheRoyalBudha,#ERROR!,#ERROR!,97143234333,,
AlMahara,#ERROR!,#ERROR!,97143017777,,
MoroccanRestaurantAndLounge,#ERROR!,#ERROR!,97143230333,,
Pierchic,#ERROR!,#ERROR!,97143666730,,
CuboPastaRestaurant,#ERROR!,#ERROR!,97143324444,,
SpiceTulip,#ERROR!,#ERROR!,97142959998,,
Appona,#ERROR!,#ERROR!,97143618111,,
Bussola,#ERROR!,#ERROR!,97143994141,,
PaiThai,#ERROR!,#ERROR!,97143668888,,
TheTerraceRestaurant,#ERROR!,#ERROR!,97142688888,,
TheGallery,#ERROR!,#ERROR!,97143524444,,
TalaSemplice,#ERROR!,#ERROR!,97142925200,,
MoulinRouge,#ERROR!,#ERROR!,97142217111,,
ThePineGrill,#ERROR!,#ERROR!,97148852222,,
PressClub,#ERROR!,#ERROR!,97146085000,,
CertoItalianRestaurant,#ERROR!,#ERROR!,97143669111,,
TheAtrium,#ERROR!,#ERROR!,97144299999,,
Pergolas,#ERROR!,#ERROR!,97143211111,,
Thattukada,#ERROR!,#ERROR!,97143931999,,
Arboretum,#ERROR!,#ERROR!,97143668888,,
Monty's,#ERROR!,#ERROR!,97143905600,,
Barasti,#ERROR!,#ERROR!,97143993333,,
Kalpaka-AMalabarRestaurant,#ERROR!,#ERROR!,97143963888,,
AlfonsoX,#ERROR!,#ERROR!,97143868111,,
ChelseaGardenRestaurantAndCafe,#ERROR!,#ERROR!,97144051180,,
C.Taste,#ERROR!,#ERROR!,97147040000,,
Choices,#ERROR!,#ERROR!,97147054654,,
BistroRestaurant,#ERROR!,#ERROR!,97142288889,,
It'sIndiRestaurant,#ERROR!,#ERROR!,97143445777,,
KalpakavadiRestaurant,#ERROR!,#ERROR!,97142710021,,
BlueOrange,#ERROR!,#ERROR!,97143994141,,
SignatureBySanjeevKapoor,#ERROR!,#ERROR!,97143868111,,
CucinaItalianKitchen,#ERROR!,#ERROR!,97148852222,,
BlueOrange,#ERROR!,#ERROR!,97145117115,,
Mahec,#ERROR!,#ERROR!,97142170000,,
Armani-Hashi,#ERROR!,#ERROR!,97148883888,,
OkRyu-Gwan,#ERROR!,#ERROR!,97143558500,,
Armani-Ristorante,#ERROR!,#ERROR!,97148883888,,
CreekViewRestaurant,#ERROR!,#ERROR!,97142230003,,
Okku,#ERROR!,#ERROR!,97145018777,,
FlowKitchen,#ERROR!,#ERROR!,97144573388,,
Armani-Mediterraneo,#ERROR!,#ERROR!,97148883888,,
CrystalRestaurant,#ERROR!,#ERROR!,97142950500,,
AshianaByVineet,#ERROR!,#ERROR!,97142071733,,
GoldenFish,#ERROR!,#ERROR!,97142719998,,
GondoleRestaurant,#ERROR!,#ERROR!,97142289977,,
KanYamaKan,#ERROR!,#ERROR!,97142719998,,
Freddy's,#ERROR!,#ERROR!,97142735555,,
Imperium,#ERROR!,#ERROR!,97144530444,,
Pillagers,#ERROR!,#ERROR!,97143963888,,
LeMetro,#ERROR!,#ERROR!,97143771111,,
AlWahaRestaurant,#ERROR!,#ERROR!,97142232222,,
Lalezar,#ERROR!,#ERROR!,97144530444,,
Plaj,#ERROR!,#ERROR!,97144530444,,
Watatsumi,#ERROR!,#ERROR!,97143993333,,
Chandni,#ERROR!,#ERROR!,97142217111,,
PaadheyamRestaurant,#ERROR!,#ERROR!,97142725888,,
Shayan,#ERROR!,#ERROR!,97142933333,,
LAO,#ERROR!,#ERROR!,97148182222,,
LesCuisines,#ERROR!,#ERROR!,97145036666,,
Prime68,#ERROR!,#ERROR!,97144143000,,
Amala,#ERROR!,#ERROR!,97144530000,,
Amici,#ERROR!,#ERROR!,97143823200,,
TerraFirmaSteakhouse,#ERROR!,#ERROR!,97147011111,,
FairouzaRestaurant,#ERROR!,#ERROR!,97142225510,,
TheCalifornian,#ERROR!,#ERROR!,97143174747,,
KebabConnection,#ERROR!,#ERROR!,97143019888,,
BambinoRestaurant,#ERROR!,#ERROR!,97142242429,,
RefletsParPierreGagnaire,#ERROR!,#ERROR!,97147011111,,
Senses,#ERROR!,#ERROR!,97143019888,,
BambinoRestaurant,#ERROR!,#ERROR!,97142226688,,
Baharat,#ERROR!,#ERROR!,97143996699,,
BallaroRerstaurant,#ERROR!,#ERROR!,97144447111,,
