Name,Address,Type,Number,asdsad,Number2,aNumbaaaer,,,,,,,,
Sultan Kulle Wala,"Darya Ganj, Delhi","Chat, Veg",9213736807,tel:9213736807,,,,,,,,,,
Apni Rasoi,"Rohini Sector 8, Delhi","Outdoor Seating, North Indian, Veg",9212432814,tel:9212432814,,,,,,,,,,
Apni Rasoi,"Ashok Vihar, Gurgaon","Outdoor Seating, North Indian, Veg",9811996121,tel:9811996121,,,,,,,,,,
Kathi Zone,"Katwaria Sarai, Delhi","Snacks, Non-Veg, Sodexo,Ticket Restaurant",9811100633,tel:9811100633,,,,,,,,,,
Krips Restaurant,"Vasant Vihar, Delhi","Multi-Cuisine, Non-Veg, Sodexo,Ticket Restaurant",1126141375,tel:01126141375,"01126141375
														,

09810020959",tel:9810020959,,,,,,,,
Kachori Jodhpuree,"Tilak Nagar, Delhi","Marwari, Veg",9871593669,tel:9871593669,,,,,,,,,,
Garam Masala,"Jhilmil Colony, Delhi","North Indian, Veg",1122147070,tel:01122147070,"01122147070
														,

09873299802",tel:9873299802,,,,,,,,
Taste To Tongue,"Janak Puri, Delhi","North Indian, Non-Veg",1164701816,tel:01164701816,"01164701816
														,

09811888869",tel:9811888869,,,,,,,,
Chaudhary Bhojnalaya,"Sector15, Faridabad","Breakfast,Desserts And Ice Cream,Punjabi,Salads",1292263882,tel:01292263882,1292263882,,,,,,,,,
South Indian Cafe,"Noida Sector 62, Noida","South Indian, Veg",1202583848,tel:01202583848,"01202583848
														,

09990779586",tel:9990779586,,,,,,,,
Amritsari Express,"Anand Industrial Estate, Ghaziabad","North Indian, Veg",9873550527,tel:9873550527,,,,,,,,,,
Punjabi Rasoi,"Ashoka Enclave, Faridabad","Punjabi, Non-Veg",9213331633,tel:9213331633,,,,,,,,,,
Punjabi Rasoi,"Bhogal, Delhi","Punjabi, Non-Veg",9971782124,tel:9971782124,,,,,,,,,,
Gopala Restaurant,"Rohini Sector 7, Delhi","Chinese, Multi-cuisine, Veg",1132715120,tel:01132715120,1132715120,,,,,,,,,
Naivedyam Restaurant,"Kalkaji, Delhi","South Indian, Veg, Sodexo,Ticket Restaurant",1126236364,tel:01126236364,1126236364,,,,,,,,,
Sandoz Restaurant,"Connaught Place, Delhi","Outdoor Seating, Chinese, Indian, Non-Veg",9650541177,tel:9650541177,,,,,,,,,,
Apni Rasoi,"Rani Bagh, Delhi","Outdoor Seating, Indian, Veg",9953630362,tel:9953630362,,,,,,,,,,
Apni Rasoi,"DLF Phase III, Gurgaon","Multi-Cuisine, North Indian, Veg, Sodexo",1242566088,tel:01242566088,1242566088,,,,,,,,,
Salad Chef,"DLF Phase 2, Gurgaon","Fast Food, Non-Veg",1244379063,tel:01244379063,1244379063,,,,,,,,,
Top Breads,"Sahibabad, Ghaziabad","Fast Food, Veg",12042111941,tel:012042111941,12042111941,,,,,,,,,
Fouji Dhaba,"Pahar Ganj, Delhi","Indian, Veg",9810002760,tel:9810002760,,,,,,,,,,
New Madras Cafe,"Vikas Puri, Delhi","South Indian, Veg",1125514920,tel:01125514920,1125514920,,,,,,,,,
Shiv Tikki Wala,"Shahdara, Delhi","Street Food, Veg",9911498128,tel:9911498128,,,,,,,,,,
Shri Ganga Bhojnalaya,"Chandni Chowk, Delhi","North Indian, Veg",1123245611,tel:01123245611,"01123245611
														,

09953463558",tel:9953463558,,,,,,,,
South Indian Food,"Bhikaji Cama Place, Delhi","South Indian, Veg",1165831898,tel:01165831898,"01165831898
														,

09811367571",tel:9811367571,,,,,,,,
Hello Vegetarian,"Pahar Ganj, Delhi","Punjabi, Veg",9999206123,tel:9999206123,,,,,,,,,,
Shiv Bhojnalaya,"Munirka, Delhi","North Indian, Veg",1126108509,tel:01126108509,1126108509,,,,,,,,,
Malabar Food Plaza,"INA Colony, Delhi","South Indian, Veg",1165829226,tel:01165829226,"01165829226
														,

09818839887",tel:9818839887,,,,,,,,
Jeet Vaishno Dhaba,"Chikambarpur, Ghaziabad","Indian, Veg",1204126082,tel:01204126082,"01204126082
														,

09891767050",tel:9891767050,,,,,,,,
Vijay Corner,"Paharganj, Delhi","Chat, Veg",1123680123,tel:01123680123,1123680123,,,,,,,,,
Shri Gurujan Vaishno Rasoi,"Janakpuri, Delhi","North Indian, Veg",1125554160,tel:01125554160,"01125554160
														,

09810433312",tel:9810433312,,,,,,,,
Bell Peppers Restaurant,"Ashok Vihar Phase 2, Delhi","Multi-Cuisine,North Indian, Veg",1127444513,tel:01127444513,1127444513,,,,,,,,,
Anupam Jalpan,"Darya Ganj, Delhi","Outdoor Seating,  North Indian, , Veg",1142564732,tel:01142564732,"01142564732
														,

09910935957",tel:9910935957,,,,,,,,
The Chinese Hut,"Krishna Nagar, Delhi","Chinese, Veg",8743840111,tel:8743840111,,,,,,,,,,
Food Point,"Sector 27, Noida","Multi-Cuisine,North Indian, Veg",1202556520,tel:01202556520,"01202556520
														,

09818745607",tel:9818745607,,,,,,,,
Zayeka Restaurant,"Shakti Nagar, Delhi","North Indian, Veg",1123846017,tel:01123846017,"01123846017
														,

09350152606",tel:9350152606,,,,,,,,
Shiv Shakti Vaishno Bhojnalaya,"East Of Kailash, Delhi","North Indian, Veg",1126423517,tel:01126423517,"01126423517
														,

09311777668",tel:9311777668,,,,,,,,
Top Shop Rasoi,"Pitampura, Delhi","Outdoor Seating,Pool Area,  North Indian, Veg",1127342392,tel:01127342392,"01127342392
														,

09213518736",tel:9213518736,,,,,,,,
Manpasand,"Ghaziabad Sector 11, Ghaziabad","Multi-Cuisine,North Indian, Veg",9811991118,tel:9811991118,,,,,,,,,,
Hari Om,"Model Town Part 2, Delhi","Outdoor Seating, Indian, Veg",1127461215,tel:01127461215,"01127461215
														,

09811680628",tel:9811680628,,,,,,,,
Diler Khalsa,"Shahdara, Delhi","North Indian, Veg",9871234777,tel:9871234777,,,,,,,,,,
Punjabi Dhaba,"Jangpura, Delhi","Punjabi, Veg",1124313435,tel:01124313435,"01124313435
														,

09810332332",tel:9810332332,,,,,,,,
Kaka Restaurant,"Nit No.1, Faridabad","Multi-Cuisine,North Indian, Veg",1292418054,tel:01292418054,"01292418054
														,

09810002019",tel:9810002019,,,,,,,,
Aap Ki Rasoi,"Moti Nagar, Delhi","Indian, Veg",1165231040,tel:01165231040,1165231040,,,,,,,,,
Ramas Cafe,"Karol Bagh, Delhi","North Indian, Veg",1128752785,tel:01128752785,1128752785,,,,,,,,,
Tanu Ki Rasoi,"Sector 26, Noida","Indian, Punjabi, Veg, Ticket Restaurant",9810022093,tel:9810022093,,,,,,,,,,
Raj Chole Bhature & Lassiwala,"Chandni Chowk, Delhi","Fast Food, Veg",9810321007,tel:9810321007,,,,,,,,,,
Chaat Tadka,"New Friends Colony, Delhi","Indian, Veg",1165176600,tel:01165176600,1165176600,,,,,,,,,
Ankur Restaurant,"Karkardooma, Delhi","Outdoor Seating,  Indian, Snacks, Veg",9540550582,tel:9540550582,,,,,,,,,,
Udupi Dosa Corner,"Lodhi Colony, Delhi","South Indian, Veg",1124647872,tel:01124647872,"01124647872
														,

09811107287",tel:9811107287,,,,,,,,
Pinku Canteen,"Yusuf Sarai, Delhi","Chinese,Fast Food, Veg",9899438772,tel:9899438772,,,,,,,,,,
Sach Bhojnalya,"Sukhrali, Gurgaon","North Indian, Veg",1246526721,tel:01246526721,"01246526721
														,

09210456932",tel:9210456932,,,,,,,,
Inderpuri Restaurant,"Chandni Chowk, Delhi","North Indian, Veg",1123980875,tel:01123980875,"01123980875
														,

09811070405",tel:9811070405,,,,,,,,
Krishna Dhaba,"Karol Bagh, Delhi","Indian, Multi-cuisine, Veg",1141397395,tel:01141397395,1141397395,,,,,,,,,
Shree Lakshmi Vilas,"Green Park, Delhi","South Indian, Veg",1126568176,tel:01126568176,1126568176,,,,,,,,,
Papa Veg Chinese Food,"Paschim Vihar, Delhi","Chinese, Veg",8447331396,tel:8447331396,,,,,,,,,,
GK Prince Paan,"Greater Kailash Part 1, Delhi","Chat, Snacks, Street Food, Veg",9811888488,tel:9811888488,,,,,,,,,,
RS Food Service,"Panchsheel Enclave, Delhi","North Indian, Veg",1126496910,tel:01126496910,1126496910,,,,,,,,,
Mirch Masala,"Dwarka Sector 12, Delhi","Indian, Veg",9540862686,tel:9540862686,,,,,,,,,,
Raj Chandni Chowk Lassi Wala,"Pitampura, Delhi","North Indian, Veg",1142470515,tel:01142470515,"01142470515
														,

09810321007",tel:9810321007,,,,,,,,
Baljeet Special Amritsari Dhaba,"Paschim Vihar, Delhi","Outdoor Seating,  North Indian, Veg",1125252860,tel:01125252860,"01125252860
														,

09899988808",tel:9899988808,,,,,,,,
Kapoor Lunch And Dinner Corner,"Garhi Mendhu, Delhi","North Indian, Veg",1141626006,tel:01141626006,1141626006,,,,,,,,,
Shiv Shakti Restaurant,"Mayur Vihar Phase 1, Delhi","South Indian, Veg",1122717693,tel:01122717693,"01122717693
														,

09968473939",tel:9968473939,,,,,,,,
Natthus Nine 2 Nine Restaurant,"New Ashok Nagar, Delhi","Indian, Veg",1165766565,tel:01165766565,"01165766565
														,

09911774664",tel:9911774664,,,,,,,,
Sri Krishna Udupi Restaurant,"Karol Bagh, Delhi","South Indian, Veg",9650281156,tel:9650281156,,,,,,,,,,
Gupta Vegetarian Paradise Restaurant,"South Extension Part 2, Delhi","Indian, Veg",1126252271,tel:01126252271,1126252271,,,,,,,,,
Nukkad Dhaba,"Bhikaji Cama Place, Delhi","Outdoor Seating, North Indian, Veg",1126105028,tel:01126105028,"01126105028
														,

09868235352",tel:9868235352,,,,,,,,
Chatpati Chatori Gali,"Vaishali Sector 3, Ghaziabad","Indian, South Indian, Veg",1204150026,tel:01204150026,"01204150026
														,

09212294399",tel:9212294399,,,,,,,,
Karan's Vaishno Dhaba,"Ramesh Nagar, Delhi","North Indian, Veg",1125468873,tel:01125468873,1125468873,,,,,,,,,
Drinks N Dishes,"Bhikaji Cama Place, Delhi","Outdoor Seating,  North Indian, Veg",9810571344,tel:9810571344,,,,,,,,,,
VGP South Indian Foods,"Mayur Vihar Phase 1, Delhi","South Indian, Veg",8826206796,tel:8826206796,,,,,,,,,,
Balagopal Restaurant,"Pandav Nagar, Delhi","Chinese, South Indian, Veg",9312437991,tel:9312437991,,,,,,,,,,
Manwhar Restaurant,"Shakti Nagar, Delhi","Multi-Cuisine,North Indian, Veg",1123848995,tel:01123848995,1123848995,,,,,,,,,
Sri Sai Family Restaurant,"Sector 44, Noida","Chinese, Indian, Veg",8858035107,tel:8858035107,,,,,,,,,,
Pizza Point,"Karampura, Delhi","Pizza, Veg",9213688244,tel:9213688244,,,,,,,,,,
Jainsons,"Katwaria Sarai, Delhi","North Indian, Veg",1126962275,tel:01126962275,1126962275,,,,,,,,,
Plaza Fast Food,"Shakti Nagar, Delhi","Fast Food, Veg",1123844654,tel:01123844654,"01123844654
														,

09811939022",tel:9811939022,,,,,,,,
Udupi Hotel,"Rajendra Nagar, Delhi","South Indian, Veg",1125860462,tel:01125860462,1125860462,,,,,,,,,
South Indian Fast Food,"Krishna Nagar, Delhi","Fast Food, South Indian, Veg",,,,,,,,,,,,
Shamji Corner,"Sushant Lok Phase 1, Gurgaon","North Indian, Veg, Sodexo,Ticket Restaurant",1244040031,tel:01244040031,1244040031,,,,,,,,,
United Food Corner,"Vasundhara Enclave, Ghaziabad","Chinese, Indian, Veg",9999918408,tel:9999918408,,,,,,,,,,
Madurai Meenakshi Bhawan,"Sector 14, Gurgaon","South Indian, Veg",9313765821,tel:9313765821,,,,,,,,,,
Shudh Vaishno Hotel,"Moti Nagar, Delhi","Indian, Veg, Sodexho,Ticket Restaurant",1145095200,tel:01145095200,"01145095200
														,

09810069004",tel:9810069004,,,,,,,,
Soya Express,"Kirti Nagar, Delhi","Afghani, Multi-cuisine, Tandoori, Veg",1164645019,tel:01164645019,1164645019,,,,,,,,,
Chickenette,"Faridabad Sector 46, Faridabad","Fast Food, Non-Veg",1292413736,tel:01292413736,1292413736,,,,,,,,,
Amritsari Foods And Caterers,"Indira Puram, Ghaziabad","Outdoor Seating,  North Indian, Veg",8860493177,tel:8860493177,,,,,,,,,,
Uttrakhand Chikan Point,"Shalimar Garden extension, Ghaziabad","Biryani, Mughlai, Multi-cuisine, Non-Veg",9891728138,tel:9891728138,,,,,,,,,,
Old Dilli,"Sector 28, Faridabad","Outdoor Seating,  Indian, Non-Veg",1296525001,tel:01296525001,1296525001,,,,,,,,,
Hamari Rasoi,"Indira Puram, Ghaziabad","Outdoor Seating,  Chinese, Indian, Snacks",9911477172,tel:9911477172,,,,,,,,,,
New Frontier Restaurant,"Karol Bagh, Delhi","Outdoor Seating,  North Indian, Veg",1128721620,tel:01128721620,1128721620,,,,,,,,,
Le Chaf,"Surajmal Vihar, Delhi","Outdoor Seating,  Chinese, Continental, Indian",1122378080,tel:01122378080,1122378080,,,,,,,,,
Roti Aur Boti,"Janakpuri, Delhi","Roti And Boti, Non-Veg",9213286769,tel:9213286769,,,,,,,,,,
Rara Momos,"Safdarjung Enclave, Delhi","Momo, Non-Veg",1140521347,tel:01140521347,1140521347,,,,,,,,,
Viva Hyderabad,"DLF Phase 4, Gurgaon","Hyderabadi, Non-Veg, Ticket Restaurant",1244002500,tel:01244002500,1244002500,,,,,,,,,
Grilled Dine-a-bite,"Greater Kailash Part 1, Delhi","Grill, Non-Veg",1132323252,tel:01132323252,"01132323252
														,

09311323252",tel:9311323252,,,,,,,,
P&P Foods,"Defence Colony, Delhi","Chat,Fast Food, Veg, Sodexo,Ticket Restaurant",9278497383,tel:9278497383,,,,,,,,,,
Tandoori Chaska,"Malviya Nagar, Delhi","Chinese, Indian, Non-Veg",9718503506,tel:9718503506,,,,,,,,,,
Tandoori Night,"Vikas Puri, Delhi","Indian, Non-Veg",9953876464,tel:9953876464,,,,,,,,,,
Jain Veg Gharana,"Kaushambi, Ghaziabad","Multi-cuisine, Veg",9999329678,tel:9999329678,,,,,,,,,,
Amritsari Express,"Lakshmi Bai Nagar, Delhi","Indian, Punjabi, Veg",9810778032,tel:9810778032,,,,,,,,,,
Natraj Cafe,"Chandni Chowk, Delhi","Chat, Veg, Sodexo,Ticket Restaurant",1165764631,tel:01165764631,"01165764631
														,

09811167400",tel:9811167400,,,,,,,,
Kulcha King,"Sarojini Nagar, Delhi","Outdoor Seating, Kulcha, Punjabi, Veg",9810671842,tel:9810671842,,,,,,,,,,
Hostess,"Model Town Part 2, Delhi","Chinese, Non-Veg",1127414137,tel:01127414137,"01127414137
														,

09717688306",tel:9717688306,,,,,,,,
Hunger Cure,"Sector14, Faridabad","Outdoor Seating,  Chinese, Veg",1294062400,tel:01294062400,1294062400,,,,,,,,,
China Express,"Rohini Sector 8, Delhi","Chinese, Veg, Sodexo,Ticket Restaurant",9873540027,tel:9873540027,,,,,,,,,,
Flavours,"Pitampura, Delhi","South Indian, Veg",1127353206,tel:01127353206,"01127353206
														,

09891821212",tel:9891821212,,,,,,,,
Noodle Wok,"Noida Sector 25 A, Noida","Chinese, Non-Veg",1204332948,tel:01204332948,1204332948,,,,,,,,,
Vaango,"Kirti Nagar, Delhi","Wi-Fi Zone,  South Indian, Veg",1141510829,tel:01141510829,1141510829,,,,,,,,,
Angeethi Xpress,"Vasant Kunj - Sector B, Delhi","Chinese, Multi-cuisine, Non-Veg",1124530765,tel:01124530765,1124530765,,,,,,,,,
Amritsari Dhaba,"Kaushambi, Ghaziabad","Punjabi, Veg",9313167111,tel:9313167111,,,,,,,,,,
Paras Singh,"Noida Link Road, Delhi","Chinese, Indian, Veg",112575084,tel:0112575084,"0112575084
														,

09210488330",tel:9210488330,,,,,,,,
Baba Jee Restaurant,"Sector 14, Gurgaon","Multi-cuisine, Veg",1244200251,tel:01244200251,1244200251,,,,,,,,,
Spicy Bites,"Ashok Vihar Phase 2, Delhi","Mughlai, Non-Veg",9278381664,tel:9278381664,,,,,,,,,,
Anjana Restaurant,"Ashok Nagar, Delhi","Outdoor Seating, Idlis And Dosas,North Indian",9810330476,tel:9810330476,,,,,,,,,,
Bline Restaurant,"Anand Niketan, Delhi","Russian, Non-Veg",1124114217,tel:01124114217,"01124114217
														,

09810197494",tel:9810197494,,,,,,,,
Andaaz-E-Lucknow,"Indra Puram, Ghaziabad","North Indian, Non-Veg",9958335528,tel:9958335528,,,,,,,,,,
Mangalam Foods,"Sector 63, Noida","Fast Food, Veg",1206492977,tel:01206492977,1206492977,,,,,,,,,
Soya Express,"Sector 23, Gurgaon","Outdoor Seating,  Chinese, Multi-cuisine, Veg",1244000360,tel:01244000360,1244000360,,,,,,,,,
Vishal Corner Restaurant,"Nehru Place, Delhi","Outdoor Seating,  Indian, North Indian, Veg",1126463679,tel:01126463679,1126463679,,,,,,,,,
Soya Express,"Tilak Nagar, Delhi","Afghani, Multi-cuisine, Tandoori, Veg",1164645017,tel:01164645017,1164645017,,,,,,,,,
South Indian Hut,"Vikas Puri, Delhi","South Indian, Veg",1164583145,tel:01164583145,1164583145,,,,,,,,,
Honey Money Top The Food Court,"Greater, Noida","Fast Food,Multi-cuisine, Non-Veg",1206452645,tel:01206452645,1206452645,,,,,,,,,
Priyansh,"Laxmi Nagar, Delhi","Fast Food, South Indian, Veg",1142486115,tel:01142486115,1142486115,,,,,,,,,
Lala Babu Chaat Bhandar,"Chandni Chowk, Delhi","Snacks, Veg",,,,,,,,,,,,
Lahorian Di Hatti,"Jangpura, Delhi","South Indian, Veg",1124375538,tel:01124375538,1124375538,,,,,,,,,
Maharashtra Food Stall,"Aurobindo Marg, Delhi","Outdoor Seating, Maharashtrian, Veg",1124672655,tel:01124672655,"01124672655
														,

09313848520",tel:9313848520,,,,,,,,
Daawat Restaurant,"Prashant Vihar, Delhi","Multi-Cuisine, Veg",,,,,,,,,,,,
Negi Restaurant,"Darya Ganj, Delhi","North Indian, Veg",9899724095,tel:9899724095,,,,,,,,,,
Kamadhenu Family Corner,"Chandni Chowk, Delhi","North Indian, Veg",1123944386,tel:01123944386,1123944386,,,,,,,,,
New Kwality Restaurant,"Rajouri Garden, Delhi","Multi-Cuisine, North Indian, Veg",,,,,,,,,,,,
Grand Madras Cafe,"Pahar Ganj, Delhi","Idlis And Dosas, South Indian, Veg",1132446177,tel:01132446177,"01132446177
														,

09910248399",tel:9910248399,,,,,,,,
Standard Snacks And Restaurant,"Rajouri Garden, Delhi","North Indian, Snacks, Veg",1165451541,tel:01165451541,"01165451541
														,

09810347203",tel:9810347203,,,,,,,,
Anandam,"Rajouri Garden, Delhi","South Indian, Veg",1142225981,tel:01142225981,"01142225981
														,

09818537500",tel:9818537500,,,,,,,,
Dukes Restaurant,"Rajendra Nagar, Delhi","Chinese, Indian, Veg",1125817600,tel:01125817600,"01125817600
														,

09313267675",tel:9313267675,,,,,,,,
Madhuban's Fast Food Corner,"Rajendra Place, Delhi","Indian, Veg",1125746422,tel:01125746422,"01125746422
														,

09811154369",tel:9811154369,,,,,,,,
Delhi Bites,"Janakpuri, Delhi","Thali, Veg",9899966603,tel:9899966603,,,,,,,,,,
Bengal Sweets,"Khan Market, Delhi",Veg,1124633186,tel:01124633186,1124633186,,,,,,,,,
Grannys Kitchen Restaurant,"DLF Area Phase 1, Delhi",Veg,114101113,tel:0114101113,"0114101113
														,

09312724863",tel:9312724863,,,,,,,,
Ambekul Zone,"East Of Kailash, Delhi","Burgers,Fast Food, Veg",9818228254,tel:9818228254,,,,,,,,,,
Food & Shakes Zone,"Karol Bagh, Delhi","North Indian, Veg",1125801384,tel:01125801384,"01125801384
														,

09311141181",tel:9311141181,,,,,,,,
Maa Vaishno Sudh Bhojnalaya,"Sector 27, Noida","Indian, Veg",1204356009,tel:01204356009,"01204356009
														,

09899279973",tel:9899279973,,,,,,,,
Yellow Mirchi,"Janakpuri District Centre, Delhi","Indian, Thali, Veg",9958864506,tel:9958864506,,,,,,,,,,
Delhi Chat,"Surajmal Vihar, Delhi","Fast Food, Veg",1164612803,tel:01164612803,1164612803,,,,,,,,,
Momo's Place,"Lajpat Nagar 2, Delhi","Snacks, Veg",9810654581,tel:9810654581,,,,,,,,,,
Shankar Fast Food,"Ashok Vihar Phase 1, Delhi","Fast Food,Street Food, Veg",1165861220,tel:01165861220,"01165861220
														,

09811746102",tel:9811746102,,,,,,,,
Kumar Pav Bhaji Corner,"Krishna Nagar, Delhi","Fast Food, Veg",9871355958,tel:9871355958,,,,,,,,,,
Sri Balaji Chaat Bhandar,"Chandni Chowk, Delhi","Chat,Fast Food, Veg",9313743753,tel:9313743753,,,,,,,,,,
Guptaji Pav Bhaji,"Darya Ganj, Delhi","Fast Food, Veg",9891716262,tel:9891716262,,,,,,,,,,
Parul Resturant,"Baba Ganganath Marg, Delhi","Multi-cuisine, North Indian, Veg",9871807922,tel:9871807922,,,,,,,,,,
Mehfil Dhaba,"Malviya Nagar, Delhi","Multi-cuisine, North Indian, Veg",1126684123,tel:01126684123,1126684123,,,,,,,,,
Shiv Restaurant,"Sector17, Faridabad","Indian, Veg",1292295356,tel:01292295356,"01292295356
														,

09873030004",tel:9873030004,,,,,,,,
Rams,"Janakpuri, Delhi","South Indian, Veg",9313921140,tel:9313921140,,,,,,,,,,
Jain Refreshment Corner,"Noida Sector 18, Noida","Indian, Veg",1204215556,tel:01204215556,1204215556,,,,,,,,,
Keventers Restaurant,"Surajmal Vihar, Delhi","Chinese,Fast Food, Veg",1122376644,tel:01122376644,1122376644,,,,,,,,,
Eat Well Restaurant,"Connaught Place, Delhi","Fast Food, Juices,Other, Veg",,,,,,,,,,,,
Kashmir Food Corner,"Yusuf Sarai, Delhi","Outdoor Seating, Indian, Veg",1165691998,tel:01165691998,1165691998,,,,,,,,,
Hari Om Restaurant,"Sector 22, Noida","Indian, Veg",9899876574,tel:9899876574,,,,,,,,,,
Varshi Dhaba,"Shastri Park, Delhi","Indian, Multi-cuisine, Veg",9818919582,tel:9818919582,,,,,,,,,,
Foodie's Day,"Sector 15, Noida","Snacks, Veg",9873480585,tel:9873480585,,,,,,,,,,
Shree Rama Restaurant,"DLF City Phase 4, Gurgaon","South Indian, Veg",1244042293,tel:01244042293,"01244042293
														,

09871759380",tel:9871759380,,,,,,,,
Janta Eating House,"Shahdara, Delhi","Indian, Veg",1122578703,tel:01122578703,1122578703,,,,,,,,,
Slic Chic,"Shalimar Bagh, Delhi","Chinese, Veg",1147094521,tel:01147094521,"01147094521
														,

09811153295",tel:9811153295,,,,,,,,
Guptaji Restaurant,"Sector 54, Gurgaon","Multi-cuisine, South Indian, Veg",1244307653,tel:01244307653,"01244307653
														,

09999399400",tel:9999399400,,,,,,,,
Dosa Plaza,Gurgaon,"Idlis And Dosas, Veg",,,,,,,,,,,,
Dadu Cutlet Shop,"Chittaranjan Park, Delhi","Fast Food, Snacks,Cutlet, Veg",9818348497,tel:9818348497,,,,,,,,,,
Buzz,"MG Road, Gurgaon","North Indian, Non-Veg",1244300015,tel:01244300015,1244300015,,,,,,,,,
Atul Chat Corner,"Rajouri Garden, Delhi","Chat, Veg",9810298325,tel:9810298325,,,,,,,,,,
Ajay Gupta Hotel,"Mamura, Noida","Indian, Veg",9250114822,tel:9250114822,,,,,,,,,,
Rhea's Restaurant,"Dwarka Sector 19, Delhi","Multi-cuisine, South Indian, Veg",9899400139,tel:9899400139,,,,,,,,,,
Sindhi Corner,"Karol Bagh, Delhi","Fast Food, Street Food, Veg",9891395577,tel:9891395577,,,,,,,,,,
Verma Restaurant,"Lodhi Road, Delhi","Chinese, North Indian, Veg",,,,,,,,,,,,
JKS Fast Food,"Palam Vihar, Delhi","Fast Food, Veg",1244074480,tel:01244074480,"01244074480
														,

09899521439",tel:9899521439,,,,,,,,
Go Chaatzz,"Kamla Nagar, Delhi","Fast Food, Veg",9717300073,tel:9717300073,,,,,,,,,,
Bikanervala,"Sohna Road, Gurgaon","Snacks, Veg",1244687777,tel:01244687777,1244687777,,,,,,,,,
Kake Di Hatti,"Chandni Chowk, Delhi","Indian, Veg",9810909754,tel:9810909754,,,,,,,,,,
Aapki Rasoi,"Shahdara, Delhi","Fast Food, Veg",9810571735,tel:9810571735,,,,,,,,,,
Coriander,"Sector 25, Noida","Health Food, Veg",1204316350,tel:01204316350,1204316350,,,,,,,,,
Metro Fast Food,"Dr. Mukherji Nagar, Delhi","Fast Food, Veg",1127653344,tel:01127653344,1127653344,,,,,,,,,
Hotel Anupam,"New Ashok Nagar, Delhi","North Indian, Veg",9999904981,tel:9999904981,,,,,,,,,,
Sita Ram Dewan Chand,"Pitampura, Delhi","Chhole Bhature, North Indian, Veg",1127315992,tel:01127315992,"01127315992
														,

09873417780",tel:9873417780,,,,,,,,
Wetzel's Pretzels,"Gurgaon Sector 29, Gurgaon","Tandoori,Jalapeno Dog, Garlic, Veg",1242970554,tel:01242970554,1242970554,,,,,,,,,
Chines Fast Food Corner,"Pahar Ganj, Delhi","Chinese, Fast Food, Veg",9313707329,tel:9313707329,,,,,,,,,,
Malhotra Hotel,"Chander Nagar, Gurgaon","North Indian, Veg",9810388141,tel:9810388141,,,,,,,,,,
Prakash Dhaba,"Pandav Nagar, Delhi","Indian, South Indian, Veg",9891859817,tel:9891859817,,,,,,,,,,
