Name,resultSubTitle,Address,mar0 2,Number2,Number
Kimaya Veg Restaurant,Restaurant,"Kothrud, PMC","South Indian, Veg",2065007852,
Abhishek Restaurant,Restaurant,"Erandwana, PMC","Indian, Veg",2025438384,
Asha Non Veg Restaurant,Restaurant,"Kothrud, PMC","Hyderabadi, Non-Veg, Sodexo",2025383685,
Indian Pizza,Restaurant,"Salunke Vihar, PMC","Pizza, Non-Veg",2032315135,
Gokul Restaurant,Restaurant,"Camp, PMC","Outdoor Seating, Indian,Multi-Cuisine, Veg",2026130345,
Radhika Veg Restaurant,Restaurant,"Aundh, PMC","Chinese, Multi-Cuisine, Punjabi, South Indian",2025888485,
Radio Hotel,Restaurant,"Camp, PMC","Multi-Cuisine, Non-Veg",2026341887,9422308234
Hotel Atithi,Restaurant,"Deccan Gymkhana, PMC","Maharashtrian, Veg",2025512251,
Shaija Restaurant,Restaurant,"Jangali Maharaj Road, PMC","Irani,Multi-Cuisine, Non-Veg",2025533754,9822323542
Rugved Veg Mantra,Restaurant,"Kothrud, PMC","Chinese, Desserts & Ice Cream, North Indian",2025396558,
Prerana Restaurant,Restaurant,"Erandwana, PMC","Multi-Cuisine, Veg",2032309949,
Hotel Sanman,Restaurant,"Deccan Gymkhana, PMC","Multi-cuisine, South Indian, Veg",2025532115,
Sai Sagar Restaurant,Restaurant,"Wanowarie, PMC","Multi-Cuisine,South Indian, Veg",2026817363,9850499787
Sadanand Veg Court,Restaurant,"Kondhwa, PMC","Children's Play Area,Outdoor Seating",2026833018,
Kuldeep Hotel,Restaurant,"Talegaon Dabhade, PMC","Gujarati, Veg",2114227140,9766453303
Shiv Sagar Pure Veg Restaurant,Restaurant,"Erandwana, PMC","Multi-Cuisine,South Indian, Veg",2065255717,
Hotel Prince,Restaurant,"Aundh, PMC","Children's Play Area,  Indian, Veg",2025886151,
New Naaz Biryani House,Restaurant,"Kondhwa Khurd, PMC","Biryani, Non-Veg",2026930645,
Mayur Restaurant,Restaurant,"Chinchwad, PCMC","Gujarati, Veg",2027472575,
Hotel Priya Pure Veg,Restaurant,"Kothrud, PMC","South Indian, Veg",2025388993,
Ashok Restaurant,Restaurant,"Somwar Peth, PMC","Multi-Cuisine,North Indian, Non-Veg",2026132054,
Sitara Restaurant,Restaurant,"Bhosari, PCMC","Maharashtrian, Multi-cuisine, Non-Veg",2025286190,
Kebabz The Restaurant,Restaurant,"Viman Nagar, PMC","Biryani, Kebabs, Non-Veg",2065300334,9326076558
Hotel Nakshatra,Restaurant,"Akurdi, PMC","North Indian, Non-Veg",2060301064,
Madinah Hotel,Restaurant,"Bhawani Peth Road, PMC","Arabian, Kebabs, Non-Veg",2026449941,
Atharva Pure Veg Restaurant,Restaurant,"Shaniwarwada, PMC","Maharashtrian, Veg",2024467944,
Hotel Suraj Pure Veg,Restaurant,"Sinhagad Road, PMC","Maharashtrian, Veg",2060701171,
Hotel Chaitrali,Restaurant,"Sadashiv Peth, PMC","Punjabi, Non-Veg",2024455880,
Sun Shine Restaurant,Restaurant,"Vishrantwadi, PMC","Multi-cuisine, Punjabi, Tandoori, Non-Veg",2026691007,
MM Restaurant,Restaurant,"Khadki, PMC","Multi-cuisine, North Indian, Veg",2025690068,
Farsheeds Restaurant,Restaurant,"Wanowarie, PMC","Fast Food, Non-Veg",2032316853,
Sai Restaurant,Restaurant,"Katraj, PMC","Fast Food,Snacks, Non-Veg",2024306321,
Sumadhu Pure Veg Family Restaurant,Restaurant,"Sinhagad Road, PMC","Multi-cuisine, Veg",2024251822,
Tiffinee Restaurant,Restaurant,"Katraj, PMC","Punjabi, Non-Veg",2024306333,
Hotel Shiv Shakti,Restaurant,"Shivaji Nagar, PMC","Children's Play Area,  Maharashtrian, Veg",2025538783,
Hotel Dulari,Restaurant,"Rasta Peth, PMC","Punjabi, Veg",2026113384,
Bubblly Mastani Restaurant,Restaurant,"Vishrantwadi, PMC","Multi-cuisine, Veg",9373610676,
Sri Ganesh Hotel,Restaurant,"Ghorpade Peth, PMC","Indian, Veg",2069498162,
Hotel Siddarth,Restaurant,"Sinhagad Road, PMC","Multi-cuisine, South Indian, Veg",2032307443,
MH-09,Restaurant,"Aundh, PMC","Kolhapuri, Non-Veg",9823143434,
Chaudhary Biryani House,Restaurant,"Bhawani Peth Road, PMC","Biryani, Kebabs, Non-Veg",9890612983,
Amrapali Non Veg Family Garden Restaurant,Restaurant,"Warje, PMC","Multi-cuisine, Non-Veg",9890545015,
Shambhavi Kolhapuri Non Veg Hotel,Restaurant,"Sadashiv Peth, PMC","Kolhapuri , Non-Veg",2064193780,
Hotel Niwara,Restaurant,"Hadapsar, PMC","Punjabi, Non-Veg",9890156424,
Vedant Veg Restaurant,Restaurant,"Kothrud, PMC","Multi-cuisine, Punjabi, Veg",2025389997,
Parathas King,Restaurant,"Dhole Patil Road, PMC","Outdoor Seating,  North Indian, Veg",2064002424,
Choice Restaurant,Restaurant,"Pimpri, PCMC","Multi-cuisine, North Indian, Non-Veg",9850934685,
Temptation Snacks Bar,Restaurant,"Viman Nagar, PMC","Snacks, Non-Veg",2065103746,
Hotel Sanjog,Restaurant,"Bibvewadi, PMC","Punjabi, Veg",2069430239,
Yolkshire,Restaurant,"Kothrud, PMC",Non-Veg,2041308801,
Jazz Pizza,Restaurant,"Viman Nagar, PMC","Outdoor Seating,  Pizza, Non-Veg",2032325500,
Domino's Pizza,Restaurant,"Wanowri, PMC","Pizza, Non-Veg, Sodexo",2026811221,
Shivam Garden Restaurant,Restaurant,"Shaniwar Peth, PMC","Outdoor Seating, Chinese, Indian, North Indian",2025512660,
Purepur Kolhapur Misal Joint,Restaurant,"Nal Stop, PMC","Indian, Veg",2025455773,
Sarjaa,Restaurant,"Aundh, PMC","Outdoor Seating, American,Fast Food, Non-Veg",2025886177,
NP Garden Restaurant,Restaurant,"Tilak Road, PMC","Outdoor Seating,  Multi-cuisine, North Indian",2024481421,
Witches And Dogs,Restaurant,"Koregaon Park, PMC","Fast Food, Non-Veg",9422301273,
Preeti Restaurant,Restaurant,"Parvati, PMC","Multi-cuisine, Non-Veg",2024436080,
Vasant Restaurant,Restaurant,"Chaturshrungi, PMC","Outdoor Seating,  Multi-cuisine, Non-Veg",2025674731,
Aditya Restaurant,Restaurant,"Wakadewadi, PMC","Indian, Multi-cuisine, Veg",2064730064,
Sawai Veg,Restaurant,"Sinhagad, PMC","Punjabi, Veg",2024252880,
Mealnut,Restaurant,"Erandwana, PMC","Multi-Cuisine, North Indian, Veg",,
Gangotri Restaurant,Restaurant,"Kasarwadi, PCMC","Indian, Multi-cuisine, Non-Veg",2027110767,
Shri Inn Pure Veg,Restaurant,"Kalyani Nagar, PMC","Outdoor Seating,  South Indian, Veg",2026686042,9730065464
Mumbai Chowpatty,Restaurant,"Kondhwa, PMC","Multi-Cuisine, North Indian, Veg",2030452600,
Naad Khula Restaurant,Restaurant,"Ghorpade Peth, PMC","Chinese, Indian, Non-Veg",9767962142,
City Plaza Restaurant,Restaurant,"Parvati, PMC","Outdoor Seating,  Maharashtrian, Punjabi, Non-Veg",2024441998,
Hotel Kalpana,Restaurant,"Bhosari, PCMC","Indian, Non-Veg",2027129815,
Sanjeevan Veg Restaurant,Restaurant,"Somwar Peth, PMC","Multi-cuisine, North Indian, Veg",2026132320,9860099976
Hotel Rajmudra,Restaurant,"Warje, PMC","Multi-cuisine, Non-Veg",2064705354,9823431432
Hotel Shivalaya,Restaurant,"Baner road, PMC","North Indian, Veg, Sodexo",2041240277,
Fish Curry Rice Restaurant,Restaurant,"Erandwana, PMC","Coastal, Seafood, Non-Veg",2064011082,9011010102
Malwani Gajali,Restaurant,"Ganeshkhind, PMC","Outdoor Seating,  Malwani, Seafood, Non-Veg",2027291667,
Krishna Chhaya,Restaurant,"Hadapsar, PMC","Maharashtrian, Veg",2026994625,
Wrap Around Restaurant,Restaurant,"Viman Nagar, PMC","Multi-cuisine, Non-Veg, Sodexo",2032938990,
Pragati Hotel,Restaurant,"Bhosari, PCMC","Indian, Veg",9822666141,
Banana Leaf Restaurant,Restaurant,"Vishrantwadi, PMC","Multi-cuisine, North Indian, Veg",2027150606,
Amma's Hyderabadi Biryani,Restaurant,"Dhanori, PMC","Biryani, Hyderabadi, Non-Veg",2065200200,9552277289
Nisarg Restaurant,Restaurant,"Chandan Nagar, PMC","North Indian, Veg",2027013686,9326068951
Shivaneri Restaurant,Restaurant,"Bibvewadi, PMC","Maharashtrian, Non-Veg",2024232121,
Ruchi Pure Veg,Restaurant,"Karve Road, PMC","South Indian, Veg",2060202536,9822269972
Apsara Restaurant,Restaurant,"Swar Gate, PMC","Outdoor Seating,  Maharashtrian, Veg, Sodexo",2024446219,
Dorabjee & Sons,Restaurant,"Camp, PMC","Biryani, Parsi, Non-Veg",2026145955,
Karishma Restaurant,Restaurant,"Viman Nagar, PMC","Multi-cuisine, Veg",2026630599,
Lai Bhari Kolhapuri Restaurant,Restaurant,"Chinchwad, PMC","Maharashtrian, Non-Veg",9970159323,
Diamond Die Restaurant,Restaurant,"Salunke Vihar, PMC","Chinese, Snacks, Non-Veg",2026855829,
Aloha Restaurant,Restaurant,"Senapati Bapat Marg, PMC","North Indian, Veg",2065230784,
SPS Biryani Hotel,Restaurant,"Sadashiv Peth, PMC","Biryani, Non-Veg",2024432117,
Navratna,Restaurant,"Parvati, PMC","Indian, Multi-cuisine, Veg",2024229869,
Sagar Hotel,Restaurant,"Ganesh Peth, PMC","Multi-cuisine, South Indian, Veg",2026335469,
Hotel Maratha,Restaurant,"Narayan Peth, PMC","Multi-cuisine, North Indian, Non-Veg",9762007080,
Desi Treat,Restaurant,"Wakad, PMC","Multi-Cuisine, South Indian, Veg",2060506666,9987777258
Sahed Only Veg,Restaurant,"Viman Nagar, PMC","Outdoor Seating, Multi-cuisine, North Indian, Veg",9990078080,
Rajdhani Restaurant,Restaurant,"Shivaji Nagar, PMC","Gujarati, Rajasthani, Veg",,
Spice Of Punjab,Restaurant,"Wagholi, PMC","Chinese, Multi-Cuisine, North Indian, Punjabi",9822415607,
Indiana Grill,Restaurant,"Kharadi, PMC","Chinese, North Indian, Non-Veg",2032670003,
Rajdhani Thali,Restaurant,"Hadapsar, PMC","Rajasthani, Veg",2067260291,
Cafe Maroo,Restaurant,"Aundh, PMC","Korean, Non-Veg",2032315203,8698366070
Panchami Pure Veg,Restaurant,"Bhosari, PMC","Chinese, Fast Food, North Indian, South Indian",2027235055,9881116222
SK'z Kolhapur,Restaurant,"Nigdi, PMC","Maharashtrian, Punjabi, Non-Veg",9657922422,
Kimling,Restaurant,"Aundh, PMC","Chinese, Indian, Non-Veg, Ticket Restaurant",2064002459,8975783954
Vaishali Pure Veg Family Restaurant,Restaurant,"Akurdi, PMC","Multi-Cuisine, Punjabi, South Indian, Veg",2027246868,9823246868
Hotel Kaveri,Restaurant,"Ghorpadi, PCMC","Indian, Maharashtrian, Non-Veg",9922777722,
Roll Attack,Restaurant,"Magarpatta, PMC","Fast Food, Non-Veg",2069206060,
Yellow And White,Restaurant,"Sadashiv Peth, PMC","Outdoor Seating, Fast Food, Non-Veg",9960796644,
Juke Box Cafe,Restaurant,"Kondhwa, PMC","Burgers, Fast Food, Pasta,Sandwiches, Non-Veg",9765979755,
Ruchira,Restaurant,"Bhosari, PMC","Indian, Punjabi, Non-Veg",9881377951,
Punjabi Rasoi,Restaurant,"Chandan Nagar, PMC","Biryani, Multi-Cuisine, Punjabi, Non-Veg",2065103129,9225518755
Masala Box,Restaurant,"Fatima Nagar, PMC","Fast Food, Non-Veg",8600027702,
Shivam,Restaurant,"Dhankawadi, PMC","Chinese, North Indian, Punjabi, Veg",2024366472,9325633695
Faaso's,Restaurant,"Hinjewadi, PMC","Biryani, Fast Food,Wraps, Veg, Sodexo",2065609006,8657643939
SWS Veg Pizzaria,Restaurant,"Bibwewadi, PMC","Burgers, Pizza, Snacks,Sandwiches, Veg",2024214221,9373079503
Cafe Apollo,Restaurant,"Rasta Peth, PMC","Chinese, Indian, Punjabi, Non-Veg",2064108877,9890329432
The Legacy,Restaurant,"Viman Nagar, PMC","Indian, Non-Veg",9975075958,
Greens And Olives,Restaurant,"Aundh, PMC","Italian, North Indian, Veg",2032673131,8956710742
Kimchi,Restaurant,"Kharadi, PMC","Chinese, Multi-Cuisine, Seafood, Non-Veg",2040413272,9850666146
Foodies,Restaurant,"Kharadi, PMC","Gujarati, Maharashtrian, Veg",9970150809,
Kareem's Restaurant,Restaurant,"Pimple Saudagar, PMC","Indian, Non-Veg",2065111005,
Amritsari kulcha,Restaurant,"Pimpri, PMC","North Indian, Non-Veg",2065226666,7387536161
Ambika Restaurant,Restaurant,"Aptale, PMC","Fast Food,Snacks, Veg",2132231153,9422985367
Swad Restaurant,Restaurant,"Deccan Gymkhana, PMC","Chinese, Multi-cuisine, Veg, Sodexo",2025454541,
Kakey DI Roti,Restaurant,"Dhole Patil Road, PMC","Indian, Non-Veg",8796632624,
Cosmo,Restaurant,"Baner road, PMC","North Indian, Non-Veg",8484010311,
Pyasa Hotel,Restaurant,"Haveli, PMC","Maharashtrian, Multi-cuisine, Non-Veg",2026913555,
Yummies,Restaurant,"Viman Nagar, PMC","North Indian, Non-Veg",8605675960,
Vie Lounge & Kitchen,Restaurant,"Pune International Airport, PMC","Outdoor Seating,  Multi-cuisine, North Indian, Veg",2026688000,9730034028
The Veg Kitchen,Restaurant,"Pimple Saudagar, PMC","Chinese, North Indian, Veg",7767882820,
Urban Desi Pendu,Restaurant,"Wakad, PMC","Chinese, Indian, Multi-Cuisine, Veg",9810878941,
Mayur Veg Thali,Restaurant,"Viman Nagar, PMC","Gujarati, Veg, Sodexo",2065000909,9822096999
Marry Gold Family Resturant,Restaurant,"Mukund Nagar, PMC","Children's Play Area, Multi-Cuisine,North Indian",9822001234,
Giridhar Veg Restaurant,Restaurant,"Aundh, PMC","Indian, Multi-cuisine, Veg",2040057817,9372353545
Smokin Joe's,Restaurant,"Shivaji Nagar, PMC","Pizza, Non-Veg, Sodexo,Ticket Restaurant",2025521566,
Rangoli Restaurant,Restaurant,"Deccan Gymkhana, PMC","Chinese, Maharashtrian, Punjabi, South Indian",,
Sahoo's Family Restaurant,Restaurant,"Kalyani Nagar, PMC","Multi-cuisine, North Indian, Non-Veg, Sodexo",2066091369,9890002266
Glass Window,Restaurant,"Shivaji Nagar, PMC","Multi-Cuisine, World Cuisine, Non-Veg",2025612345,
All Stir Fry,Restaurant,"Ganeshkhind, PMC","South Eastern, Non-Veg",,
Mc Donald's,Restaurant,"Kalyani Nagar, PMC","Outdoor Seating, Burgers,Fast Food, Non-Veg",2040046115,
Charcoal Pit,Restaurant,"Camp, PMC","Continental, Multi-cuisine, Non-Veg",02026131572-73,
Thai House,Restaurant,"Phayre Road, PMC","Outdoor Seating, Thai, Non-Veg",9822517975,
Curry On The Roof,Restaurant,"Prabhat Road, PMC","High Rise,  Multi-cuisine, Non-Veg",2025466793,
The Square Meal,Restaurant,"Pimpri, PCMC","Multi-cuisine, North Indian, Non-Veg",2066333333,
Mirchi Cola,Restaurant,"Camp, PMC","Outdoor Seating,  Chinese, Mughlai, Punjabi",,
Hotel Subhadra,Restaurant,"Deccan Gymkhana, PMC","High Rise,Pool Area,  Multi-cuisine, North Indian",,
Subway,Restaurant,"Kalyani Nagar, PMC","Fast Food,Health Food, Non-Veg, Sodexo",2041217070,
By The Way,Restaurant,"Shivaji Nagar, PMC","Chinese, Continental, Italian, Multi-Cuisine",2065009033,9823838401
Hite Bar,Restaurant,"Dhole Patil Road, PMC","Outdoor Seating, Burgers,Fast Food, Non-Veg",2026056218,
Smokin Joes Pizza,Restaurant,"Shivaji Nagar, PMC","Pizza, Non-Veg, Sodexo,Ticket Restaurant",2025520404,
Smokin' Joes Pizza,Restaurant,"Ganeshkhind, PMC","Pizza, Non-Veg",2027299090,
Konkan Curry Restaurant,Restaurant,"Navi Peth, PMC","Multi-cuisine, North Indian, Non-Veg",8600085858,
Krostini,Restaurant,"Deccan Gymkhana, PMC","Outdoor Seating,  Italian, Multi-cuisine, Veg",2064003535,9029082524
US Pizza,Restaurant,"Kalyani Nagar, PMC","Pizza, Non-Veg, Sodexo,Ticket Restaurant",2064006666,
Summer Field Restaurant,Restaurant,"Pashan, PMC","Outdoor Seating,  Lucknowi, Maharashtrian",2065001260,9820991804
Faso's Restaurant,Restaurant,"Yerawada, PMC","Bengali, Non-Veg, Sodexo",2065226806,
Nayana Restaurant,Restaurant,"Bawdhan, PMC","Chinese, Indian, Punjabi, Tandoori, Non-Veg",9823366717,
Copacabana Restaurant,Restaurant,"Aundh, PMC","World Cuisine, Non-Veg",2046742928,8888888236
Platters Family Restaurant,Restaurant,"Chinchwad, PCMC","Multi-cuisine, Veg",2030620655,
Ramps Multi Cuisine Restaurant,Restaurant,"Vadgaon Sheri, PMC","Multi-cuisine, North Indian, Non-Veg, Sodexo",2066120171,9702905613
Jalsa Veg Restaurant,Restaurant,"Viman Nagar, PMC","Outdoor Seating,  Multi-cuisine, North Indian",2041202999,9049007104
Tulsi N Thyme,Restaurant,"Wakad, PMC","Wi-Fi Zone,  Chinese, Multi-cuisine, North Indian",2065111100,
Samudra Restaurant,Restaurant,"Erandwana, PMC","Children's Play Area,Outdoor Seating",2025458504,9921791456
Mainland China,Restaurant,"Shivaji Nagar, PMC","Chinese, Non-Veg",2030463613,
Smokin Joes,Restaurant,"Chinchwad, PMC","Burgers, Pizza, Non-Veg, Sodexo,Ticket Restaurant",2064004040,
Metway Gill,Restaurant,"Manjari bk, PMC","Outdoor Seating,Wi-Fi Zone,  Indian, Kebabs",2026999100,9822011812
Ivy Bistro,Restaurant,"Shivaji Nagar, PMC","American, Continental, Mexican, Non-Veg",202393100,
Yummy Tummy,Restaurant,"Magarpatta, PMC","Chinese, Indian, Punjabi, Non-Veg",2067228000,
Yo China Restaurant,Restaurant,"Kalyani Nagar, PMC","Chinese, Multi-cuisine, Non-Veg",9371919872,
Zaheer Khan's Restaurant,Restaurant,"Viman Nagar, PMC","Continental, Indian, Italian, Non-Veg",2032404455,
Deccan Biryani's,Restaurant,"Deccan Gymkhana, PMC","Biryani, Kebabs, Non-Veg",9422324339,
Saat Handi,Restaurant,"Kalyani Nagar, PMC","Chinese, Non-Veg",9823104141,
Arthur's Theme Restaurant,Restaurant,"Koregaon Park, PMC","Outdoor Seating, Wi-Fi Zone,  Chinese",2026152710,9822032710
Dreamland Veg Thali Xprs,Restaurant,"Pune Railway Station, PMC","Gujarati, Punjabi, Rajasthani, Veg",9890377364,
No. 9 Park,Restaurant,"Kalyani Nagar, PMC","Awadhi, Non-Veg",2026651629,9004350067
Saarthi Veg,Restaurant,"Aundh, PMC","Chinese, Indian, Multi-Cuisine, South Indian",2030189872,
Silk Route Restaurant,Restaurant,"Koregaon Park Road 1, PMC","Outdoor Seating, Multi-Cuisine,Oriental, Non-Veg",2026135793,9860602463
Chatkazz,Restaurant,"Sadashiv Peth, PMC","Chole Naan, Fast Food, Pav Bhaji,Vada Pav, Veg",9764551505,
Raj Laxmi Garden Restaurant,Restaurant,"Kothrud, PMC","Outdoor Seating, Indian,Multi-Cuisine, Veg, No",2025454724,
Little Something Extra,Restaurant,"Kothrud, PMC","Burgers,Fast Food,Pizza, Non-Veg",7350332333,
Saarthi Veg Restaurant,Restaurant,"Aundh, PCMC","Outdoor Seating,  Chinese, Indian, Multi-Cuisine",2027297772,
Kund- The Pool Side,Restaurant,"Hadapsar Saswad Road, PCMC","Outdoor Seating,  Continental, Indian",20305200,9987573818
Zaika Restaurant,Restaurant,"Aundh, PMC","Multi-cuisine, Non-Veg",9637354659,
Flipp'd,Restaurant,"Wanowarie, PMC","Burgers, Fast Food, Non-Veg",2041213344,
Squisito,Restaurant,"Koregaon Park Road 1, PMC","Italian,Lebanese,Mexican,Multi-Cuisine, Non-Veg",2026054005,9822637464
Moti Mahal Deluxe,Restaurant,"Dhole Patil Road, PMC","Outdoor Seating, Multi-cuisine, Non-Veg",2032313490,9922450585
Little Italy,Restaurant,"Shivaji Nagar, PMC","Italian, Mexican, Veg",4041057200,
Mini Punjabb Restaurant,Restaurant,"Hadapsar, PMC","Chinese, North Indian, Tandoori, Non-Veg, Sodexo",2064781900,
Atlantis,Restaurant,"Wanowarie, PMC","Continental, Indian, Italian, Punjabi, Tandoori",2041056666,
Polo Campero,Restaurant,"Viman Nagar, PMC","American, Non-Veg, Sodexo",2066890599,
Metromix Restaurant,Restaurant,"Kothrud, PMC","Chinese, Italian, Mexican, Oriental, Thai",2065004030,9422089316
Hot Chicks,Restaurant,"Aundh Road, PMC","Chinese, Multi-cuisine, North Indian, Non-Veg",9271363514,
Olives & Oregano,Restaurant,"Aundh, PMC","Outdoor Seating, Continental, Multi-cuisine",2065101114,7276240208
Zambar Restaurant,Restaurant,"Viman Nagar, PMC","Andhra, Keralite, Seafood, South Indian, Non-Veg",2030950606,9527901443
MM Maroosh,Restaurant,"Viman Nagar, PMC","Lebanese, Multi-Cuisine, North Indian, Non-Veg",2030950666,9833381209
Punjabi Spice,Restaurant,"Nagar Road, PMC","Multi-cuisine, North Indian, Punjabi, Non-Veg",9673595050,
Hyderabadi Heritage,Restaurant,"Kondhwa, PMC","Outdoor Seating,  Biryani, Hyderabadi",9579493345,
Lake View Restaurant,Restaurant,"Sinhagad Road, PMC","Outdoor Seating,Pool Area,  Chinese, Indian",2032671999,9326463999
Open Garden Restaurant,Restaurant,"Sinhagad Road, PMC","Outdoor Seating, Chinese, Indian, Multi-Cuisine",2032671999,9326463999
Regalia Restaurant And Lounge,Restaurant,"Baner road, PMC","Wi-Fi Zone,  Chinese, Continental, Multi-Cuisine",2065607172,8888860952
Encore Hotels Pvt Ltd,Restaurant,"Kalyani Nagar, PMC","Thali, Veg, Sodexo,Ticket Restaurant",8805332595,
Purnagiri Biryani House,Restaurant,"Dhankawadi, PMC","Biryani, Chinese, Indian, Seafood, Non-Veg",9623083729,
Kareem's,Restaurant,"Wanowri, PMC","Indian, Non-Veg, Sodexo,Ticket Restaurant",9890033334,
Kaizer,Restaurant,"Katraj, PMC","Chinese, Continental, Kebabs, Tandoori, Non-Veg",9011222324,
Melange,Restaurant,"Aundh, PMC","Wi-Fi Zone,  Continental, European, Indian",2040009999,8600254094
The Northern Frontier,Restaurant,"Nagar Road, PMC","Outdoor Seating, Kashmiri, North West Frontier",2065619301,9922913310
My Roll Junction,Restaurant,"Aundh, PMC","Outdoor Seating,  Bengali, Non-Veg, Sodexo",2027206333,
Hill Square Bistro,Restaurant,"Pashan, PMC","Multi-cuisine, Non-Veg",9028489770,
Picantos Mexican Grill,Restaurant,"Aundh, PMC","Mexican, Tex-Mex, Non-Veg",2065240640,
Curry Leaf (Take Away),Restaurant,"Baner road, PMC","Outdoor Seating,  Chinese, Indian, Tandoori",8390725946,
Doughmakers India Private Limited,Restaurant,"Viman Nagar, PMC","Outdoor Seating, Sandwich, Non-Veg, Sodexo",2066890266,9764712719
Eatsome,Restaurant,"Model Colony, PMC","Biryani, Kebabs, Multi-Cuisine, North Indian",2060503020,9373052008
Up North Restaurant,Restaurant,"Bavdhan, PMC","Indian, Non-Veg",2065292724,9890668685
Basil Deck Restaurant,Restaurant,"Koregaon Park, PMC","Outdoor Seating, Wi-Fi Zone,  Continental",2065328888,7057149241
Ghar Ka Khana,Restaurant,"Hinjewadi, PMC","Outdoor Seating,  North Indian, Veg, Sodexo",9822798143,
Temptation,Restaurant,"Kalyani Nagar, PMC","Chinese, Indian, Multi-Cuisine, Tandoori",,
Yo! China,Restaurant,"Chinchwad, PCMC","Chinese, Thai, Non-Veg",,
Olent,Restaurant,"Ghole Road, PMC","Multi-cuisine, Seafood, Tandoori, Non-Veg",2065102244,9822336643
Oye Pape,Restaurant,"Hadapsar, PMC","Chinese, Mughlai, Multi-Cuisine, Punjabi",2067260108,7387076458
Frangipani,Restaurant,"Bawdhan, PMC","Chinese, Indian, Multi-Cuisine, Tandoori, Non-Veg",2022951023,9822497179
Zikomo Restaurant,Restaurant,"Baner road, PMC","Indian, Non-Veg",2046778484,8605975850
Shravan Restaurant,Restaurant,"Shivaji Nagar, PMC","Multi-Cuisine,North Indian, Veg",2025654914,
Vaishali Restaurant,Restaurant,"Deccan Gymkhana, PMC","Outdoor Seating, North Indian, Punjabi",2025531244,
Goyal Restaurant,Restaurant,"Khadki, PMC","Indian,Multi-Cuisine, Non-Veg",2025811952,
Burger King,Restaurant,"Koregaon Park, PMC","Burgers, Non-Veg",2065256058,
Shreyas Siddhi,Restaurant,"Sahakar Nagar, PMC","South Indian, Non-Veg",2024226526,9552564059
Papa Luigi,Restaurant,"Camp, PMC","Outdoor Seating, Burgers, Pizza, Veg",2026343853,9833287779
Nature's Bounty,Restaurant,"Koregaon Park, PMC","Pasta, Salads     , Snacks, Veg",2026114627,9822555297
Sahota's Punjab Da Flavour,Restaurant,"Koregaon Park Road 1, PMC","Punjabi, Non-Veg",2032305616,9823670777
Madhuban Restaurant,Restaurant,"Dhole Patil Road, PMC","Chinese,Multi-Cuisine,South Indian, Veg",2026121909,
Aatithya Veg Delite,Restaurant,"Shaniwar Peth, PMC","Indian,Multi-Cuisine, Veg",2024467688,
Tim Luck Luck,Restaurant,"Wakad, PMC","Outdoor Seating,  Multi-Cuisine, Punjabi, Non-Veg",2027206200,8087155111
Ruchira Pure Veg Restaurant,Restaurant,"Kothrud, PMC","Multi-Cuisine, Veg",2064007480,
Yashraj Restaurant,Restaurant,"Raviwar Peth, PMC","Maharashtrian,Multi-Cuisine,Punjabi, Veg",2024455246,
Chalukya Restaurant,Restaurant,"Deccan Gymkhana, PMC","Bengali,Multi-Cuisine, Veg",2025511344,
Abhishek Family Restaurant,Restaurant,"Erandwana, PMC","Outdoor Seating, Gujarati,Multi-Cuisine, Veg",2025468384,9850993353
Shree Krishna Restaurant,Restaurant,"Viman Nagar, PMC","Children's Play Area, Chinese,Gujarati",2026631999,
Bedekar Misal,Restaurant,"Narayan Peth, PMC","North Indian, Punjabi, Rajasthani, Veg",2024451270,9822449529
Olympia Restaurant,Restaurant,"Camp, PMC","Hyderabadi, Mughlai, Non-Veg",2026135147,
Chandraphool Garden,Restaurant,"Alandi Road, PCMC","Outdoor Seating, Indian, Non-Veg",2027185024,
Hotel Supriya,Restaurant,"Camp, PMC","Indian,Multi-Cuisine, Veg",2026137477,
Devaki Restaurant,Restaurant,"Ghorpade Peth, PMC","Multi-Cuisine,North Indian, Non-Veg",2024478746,
Hotel Abhishek,Restaurant,"Shukrawar Peth, PMC","Indian,Multi-Cuisine, Non-Veg",2024488988,
The Samrat Restaurant,Restaurant,"Hadapsar, PMC","North Indian, Non-Veg",2026993400,9422012672
Sanskruti - The Cultural Garden Restaurant,Restaurant,"Hadapsar, PMC","Outdoor Seating, North Indian, Veg",9822691000,
Sheetal Restaurant,Restaurant,"Pimpri, PCMC","Outdoor Seating, Multi-Cuisine,South Indian, Veg",2027423748,
Sheetal Refreshment Hotel,Restaurant,"Chinchwad, PCMC","Multi-Cuisine, Veg, Sodexo",2027464040,
Mahanand Restaurant,Restaurant,"Camp, PMC","Fast Food, Veg",2026131357,
New Jai Bhavani Hotel,Restaurant,"Paud Road, PMC","Maharashtrian, Non-Veg",2025446768,
Hotel Rajada,Restaurant,"Shivaji Nagar, PMC","Indian,Multi-Cuisine, Non-Veg",2025535737,
Sneha Restaurant,Restaurant,"Guruwar peth, PMC","Multi-Cuisine,North Indian, Veg",2024479680,
Regal Restaurant,Restaurant,"Sadashiv Peth, PMC","Chat,Fast Food,Multi-Cuisine, Veg",2024476460,
Panchimi Restaurant,Restaurant,"Swar Gate, PMC","Multi-Cuisine, Veg",2024441999,9422083583
